"",Name,OutcomeType,OutcomeSubtype,AnimalType,AgeDays,Fertility,sex,Hour,Weekday,Month,Year,TimeofDay,WorkDay,Mix,SimpleBreed,PureColor,SimpleColor,Age
"1",Y,Adoption,Foster,Dog,730,N,Male,12,7,1,2015,afternoon,N,Y,Pit Bull,Pure,Blue,Adult
"2",Y,Adoption,Blank,Dog,150,N,Female,17,3,2,2014,everning,Y,Y,American Pit Bull Terrier,Pure,Red,Kid
"3",N,Adoption,Offsite,Dog,365,N,Female,7,7,5,2014,morning,N,N,Cairn Terrier,Mix,White,Kid
"4",N,Adoption,Blank,Dog,730,N,Female,14,2,11,2013,afternoon,Y,Y,Miniature Schnauzer,Mix,Silver,Adult
"5",Y,Adoption,Foster,Dog,1460,N,Male,11,4,2,2016,afternoon,Y,Y,Pit Bull,Mix,Brown,Adult
"6",Y,Adoption,Blank,Dog,730,N,Female,14,7,8,2015,afternoon,N,N,Plott Hound,Pure,Brown,Adult
"7",Y,Adoption,Blank,Dog,300,N,Male,16,2,10,2013,everning,Y,Y,German Shepherd,Pure,Brown,Kid
"8",Y,Adoption,Blank,Dog,180,N,Female,17,6,1,2016,everning,N,Y,American Staffordshire Terrier,Pure,Chocolate,Kid
"9",Y,Adoption,Blank,Dog,1825,N,Female,18,4,3,2015,everning,Y,Y,Chihuahua Shorthair,Pure,White,Adult
"10",Y,Adoption,Blank,Dog,150,N,Female,17,2,3,2015,everning,Y,Y,German Shepherd,Pure,Black,Kid
"11",Y,Adoption,Blank,Dog,730,N,Male,12,5,5,2015,afternoon,Y,Y,Blue Lacy,Pure,Gray,Adult
"12",Y,Adoption,Blank,Dog,730,N,Male,12,2,7,2014,afternoon,Y,N,Dachshund,Pure,Brown,Adult
"13",Y,Adoption,Blank,Dog,730,N,Female,11,4,9,2015,afternoon,Y,Y,Dachshund,Pure,Tan,Adult
"14",Y,Adoption,Blank,Dog,365,N,Female,18,7,5,2014,everning,N,Y,Chihuahua Shorthair,Mix,Red,Kid
"15",Y,Adoption,Blank,Dog,60,N,Male,17,4,4,2014,everning,Y,Y,Vizsla,Mix,Brown,Kid
"16",N,Adoption,Blank,Dog,1095,N,Female,18,3,3,2014,everning,Y,N,German Shepherd,Mix,White,Adult
"17",Y,Adoption,Blank,Dog,60,N,Male,16,1,6,2015,everning,Y,N,Chow Chow,Mix,Black,Kid
"18",Y,Adoption,Foster,Dog,365,N,Male,12,5,12,2015,afternoon,Y,N,Chihuahua Shorthair,Mix,White,Kid
"19",N,Adoption,Blank,Dog,365,N,Male,18,1,9,2014,everning,Y,N,Dachshund,Pure,Brown,Kid
"20",Y,Adoption,Blank,Dog,150,N,Male,14,3,12,2015,afternoon,Y,Y,Plott Hound,Pure,Brown,Kid
"21",Y,Adoption,Blank,Dog,1095,N,Female,14,1,2,2016,afternoon,Y,N,Boxer,Mix,Black,Adult
"22",Y,Adoption,Blank,Dog,3285,N,Female,14,1,11,2015,afternoon,Y,N,Beagle,Pure,White,Old
"23",N,Adoption,Blank,Dog,1095,N,Male,16,4,1,2015,everning,Y,Y,Border Terrier,Mix,Gray,Adult
"24",Y,Adoption,Blank,Dog,1825,N,Male,17,5,5,2014,everning,Y,Y,Chihuahua Shorthair,Pure,Tan,Adult
"25",Y,Adoption,Blank,Dog,730,N,Male,18,1,3,2014,everning,Y,Y,Dogo Argentino,Mix,White,Adult
"26",Y,Adoption,Blank,Dog,730,N,Female,16,1,10,2013,everning,Y,Y,Pit Bull,Pure,Fawn,Adult
"27",Y,Adoption,Blank,Dog,365,N,Female,15,7,3,2014,afternoon,N,Y,Chihuahua Shorthair,Mix,Tan,Kid
"28",Y,Adoption,Blank,Dog,2920,N,Male,11,2,5,2014,afternoon,Y,N,Miniature Schnauzer,Mix,Black,Old
"29",N,Adoption,Offsite,Dog,60,N,Female,14,1,9,2014,afternoon,Y,Y,Labrador Retriever,Pure,Black,Kid
"30",Y,Adoption,Blank,Dog,1825,N,Male,17,5,9,2014,everning,Y,N,Pit Bull,Mix,Black,Adult
"31",Y,Adoption,Blank,Dog,365,N,Male,17,1,1,2016,everning,Y,Y,Pit Bull,Pure,White,Kid
"32",Y,Adoption,Blank,Dog,1095,N,Female,17,5,10,2015,everning,Y,Y,Pit Bull,Pure,Red,Adult
"33",Y,Adoption,Blank,Dog,365,N,Female,14,6,1,2016,afternoon,N,N,Chihuahua Shorthair,Pure,Black,Kid
"34",Y,Adoption,Foster,Dog,30,N,Female,18,1,11,2014,everning,Y,N,Miniature Pinscher,Mix,Tricolor,Kid
"35",Y,Adoption,Blank,Dog,180,N,Male,19,1,11,2015,everning,Y,Y,Labrador Retriever,Mix,Yellow,Kid
"36",N,Adoption,Blank,Dog,365,N,Female,18,6,9,2014,everning,N,Y,Dachshund,Mix,Tan,Kid
"37",Y,Adoption,Blank,Dog,330,N,Female,13,7,11,2015,afternoon,N,Y,Blue Lacy,Pure,Blue,Kid
"38",Y,Adoption,Blank,Dog,730,N,Male,11,7,8,2015,afternoon,N,Y,Pit Bull,Pure,Brown,Adult
"39",Y,Adoption,Blank,Dog,180,N,Male,17,1,12,2015,everning,Y,Y,Border Collie,Pure,Black,Kid
"40",Y,Adoption,Blank,Dog,150,Y,Female,17,7,8,2015,everning,N,Y,Labrador Retriever,Pure,Black,Kid
"41",Y,Adoption,Blank,Dog,365,N,Female,11,7,8,2015,afternoon,N,Y,Chihuahua Shorthair,Pure,White,Kid
"42",Y,Adoption,Blank,Dog,730,N,Male,16,1,8,2014,everning,Y,N,Labrador Retriever,Pure,Black,Adult
"43",N,Adoption,Foster,Dog,60,N,Male,9,5,6,2015,morning,Y,N,Dachshund,Mix,Tricolor,Kid
"44",Y,Adoption,Blank,Dog,30,N,Female,14,2,4,2015,afternoon,Y,N,Plott Hound,Pure,Black,Kid
"45",Y,Adoption,Blank,Dog,730,N,Female,17,3,5,2015,everning,Y,N,Yorkshire Terrier,Pure,Tan,Adult
"46",N,Adoption,Blank,Dog,270,N,Female,17,6,5,2015,everning,N,Y,Miniature Poodle,Pure,Black,Kid
"47",Y,Adoption,Blank,Dog,1095,N,Female,14,7,9,2015,afternoon,N,N,Jack Russell Terrier,Mix,Red,Adult
"48",Y,Adoption,Blank,Dog,300,N,Female,16,5,5,2014,everning,Y,N,Queensland Heeler,Pure,Red,Kid
"49",Y,Adoption,Blank,Dog,365,N,Male,16,3,10,2015,everning,Y,Y,Catahoula,Pure,Blue,Kid
"50",Y,Adoption,Blank,Dog,365,N,Male,18,6,7,2015,everning,N,Y,Labrador Retriever,Pure,Black,Kid
"51",Y,Adoption,Foster,Dog,90,N,Male,15,5,7,2014,afternoon,Y,Y,Labrador Retriever,Mix,Yellow,Kid
"52",N,Adoption,Blank,Dog,1825,N,Female,18,7,11,2013,everning,N,Y,Dachshund Longhair,Pure,Tan,Adult
"53",Y,Adoption,Blank,Dog,730,N,Female,12,3,4,2014,afternoon,Y,Y,German Shepherd,Mix,Sable,Adult
"54",Y,Adoption,Blank,Dog,2190,N,Male,18,7,10,2014,everning,N,Y,Labrador Retriever,Pure,Black,Adult
"55",Y,Adoption,Blank,Dog,150,N,Male,16,5,11,2014,everning,Y,N,Dachshund,Pure,White,Kid
"56",N,Adoption,Blank,Dog,730,N,Male,19,4,5,2014,everning,Y,N,Miniature Poodle,Pure,Black,Adult
"57",Y,Adoption,Foster,Dog,730,N,Female,9,3,12,2014,morning,Y,Y,Whippet,Pure,Brown,Adult
"58",N,Adoption,Blank,Dog,730,N,Female,14,2,1,2016,afternoon,Y,Y,Labrador Retriever,Pure,Tan,Adult
"59",Y,Adoption,Foster,Dog,60,N,Female,16,6,5,2014,everning,N,Y,English Pointer,Pure,Brown,Kid
"60",Y,Adoption,Blank,Dog,365,N,Female,17,2,11,2013,everning,Y,N,Miniature Schnauzer,Pure,Black,Kid
"61",N,Adoption,Blank,Dog,1095,N,Female,17,3,7,2014,everning,Y,Y,Cairn Terrier,Mix,Buff,Adult
"62",Y,Adoption,Blank,Dog,730,N,Female,15,4,6,2015,afternoon,Y,Y,Chihuahua Shorthair,Pure,Brown,Adult
"63",Y,Adoption,Blank,Dog,1095,N,Male,18,5,11,2015,everning,Y,Y,Chow Chow,Mix,Red,Adult
"64",N,Adoption,Blank,Dog,2555,N,Female,17,1,12,2013,everning,Y,N,English Pointer,Pure,Liver,Adult
"65",Y,Adoption,Blank,Dog,365,N,Male,12,1,7,2014,afternoon,Y,N,Labrador Retriever,Mix,Brown,Kid
"66",Y,Adoption,Blank,Dog,30,N,Male,13,7,1,2015,afternoon,N,N,Beagle,Pure,Black,Kid
"67",Y,Adoption,Blank,Dog,365,N,Female,12,7,10,2013,afternoon,N,Y,Pit Bull,Pure,Black,Kid
"68",Y,Adoption,Blank,Dog,730,N,Female,18,1,8,2015,everning,Y,Y,Flat Coat Retriever,Pure,Black,Adult
"69",Y,Adoption,Blank,Dog,3650,N,Female,18,7,4,2015,everning,N,Y,Chihuahua Shorthair,Mix,Tan,Old
"70",N,Adoption,Blank,Dog,365,N,Male,17,2,8,2014,everning,Y,N,Border Terrier,Pure,Tan,Kid
"71",Y,Adoption,Blank,Dog,365,N,Male,17,4,10,2013,everning,Y,Y,Chihuahua Longhair,Mix,Black,Kid
"72",Y,Adoption,Blank,Dog,365,N,Male,12,5,7,2014,afternoon,Y,N,Jack Russell Terrier,Pure,White,Kid
"73",Y,Adoption,Blank,Dog,300,N,Male,17,3,3,2014,everning,Y,Y,Siberian Husky,Pure,White,Kid
"74",Y,Adoption,Blank,Dog,270,N,Male,18,6,2,2014,everning,N,N,Cardigan Welsh Corgi,Pure,Fawn,Kid
"75",N,Adoption,Blank,Dog,240,N,Female,21,7,2,2016,night,N,Y,Chihuahua Shorthair,Pure,Chocolate,Kid
"76",Y,Adoption,Blank,Dog,730,N,Male,11,1,1,2016,afternoon,Y,N,Shih Tzu,Pure,Gray,Adult
"77",Y,Adoption,Blank,Dog,330,N,Male,15,2,1,2014,afternoon,Y,Y,Australian Shepherd,Pure,Tan,Kid
"78",Y,Adoption,Blank,Dog,1095,N,Male,14,5,2,2015,afternoon,Y,Y,Chihuahua Shorthair,Pure,Tan,Adult
"79",Y,Adoption,Blank,Dog,365,N,Male,15,1,4,2014,afternoon,Y,N,Labrador Retriever,Pure,Black,Kid
"80",Y,Adoption,Blank,Dog,60,N,Female,14,1,11,2014,afternoon,Y,Y,Australian Cattle Dog,Pure,Brown,Kid
